bar,beer,date,startquantity,endquantity
"Lonely Snowdrop","Amstel Malt",2018-10-24,234,234
"Wild Hag Bar","Newark IPA",2018-10-24,136,136
"Cheap Vampire","Amstel Lager",2018-10-24,207,207
"Wrong Whip Bar","Yellowjacket Ale",2018-10-24,238,238
"Hissing Ocean Bar","Inspiration Ale",2018-10-24,212,212
"Ivory Lamb Pub","Blue Whale Ale",2018-10-24,209,209
Anchor,"Holiday Imperial",2018-10-24,237,237
"Gifted Zebra Tavern","Amstel Bright",2018-10-24,182,182
"Tacky Lyre Pub","Yellowjacket Ale",2018-10-24,181,181
"New Spider Bar","Amstel Light",2018-10-24,184,184
"Famous Tiger Pub","Amstel Bock",2018-10-24,227,227
"Hungry Turtle Pub","Holiday Trappist Style Ale",2018-10-24,181,181
"Uneven Ants Tavern","Hop Hash",2018-10-24,152,152
"Purple Pint Bar and Grille","Amstel Lager",2018-10-24,158,158
"Iron Tigress Inn",Hefeweizen,2018-10-24,230,230
"Poor Bats Inn","Pumpkin Ale",2018-10-24,228,228
"Atomic Liquors","Amstel Gold",2018-10-24,204,204
"Blue City","Welsh Honey Bitter",2018-10-24,203,203
"Mixing Demon Pub","Dry Stout",2018-10-24,233,233
"Hidden Lady Parlor","Lawnmower Lager",2018-10-24,159,159
"Clean Bed Inn",Hefeweizen,2018-10-24,203,203
"Scared Crossbow Tavern","Black Horse Black Beer",2018-10-24,157,157
"Latino Magpie","Welsh Pride",2018-10-24,135,135
"Spirited Brew Saloon","Amstel Light",2018-10-24,181,181
"Different Kumquat Pub","Code Blue",2018-10-24,133,133
"Regular Drum Tavern","Amstel Malt",2018-10-24,203,203
"Shouting Snake Inn","The Captain's Porter",2018-10-24,205,205
"Impossible Fire","Inspiration Ale",2018-10-24,133,133
"Rusty Sailor Outpost","Welsh Honey Bitter",2018-10-24,181,181
"Triangular Pegasus Inn","Lawnmower Lager",2018-10-24,210,210
"Sudden Octopus","Orca Porter",2018-10-24,239,239
"Fluffy Husband","Swamp Fox IPA",2018-10-24,203,203
"Crooked Sailor Ale House","The Captain's Porter",2018-10-24,158,158
"Parallel Pegasus Bar","Yellowjacket Ale",2018-10-24,153,153
"Dramatic Crabs","Caldera Pilsener Bier",2018-10-24,132,132
"Naughty Bean Inn","Dry Hop Red",2018-10-24,239,239
"Deep Glass Bar","Pacific Pilsner",2018-10-24,128,128
"Sore Head","Schinderhannes Bock",2018-10-24,236,236
"Original Acorn Roadhouse","Dry Stout",2018-10-24,207,207
"Nimble Stream Pub","Amstel Oud Bruin",2018-10-24,179,179
"Loud Elderberry Bar","Amstel Lager",2018-10-24,210,210
"Wild Hag Bar","Amstel Oud Bruin",2018-10-24,156,156
"Cheap Vampire","Nut Brown",2018-10-24,155,155
"Hoppy Apple Brewhouse","The Highland Stagger",2018-10-24,207,207
"Wrong Whip Bar","Caldera Ginger Beer",2018-10-24,160,160
"Jaded Pants Pub","Vas Deferens Ale",2018-10-24,233,233
"New Spider Bar","Yellowjacket Ale",2018-10-24,160,160
"Gifted Zebra Tavern","Caldera IPA",2018-10-24,210,210
Anchor,"Leviathan Imperial Stout",2018-10-24,208,208
"Tasty Fairy Tavern","St. Stephen's Bock",2018-10-24,233,233
"Hungry Turtle Pub","Amstel Lager",2018-10-24,133,133
"Famous Tiger Pub","Amstel Light",2018-10-24,160,160
"Purple Pint Bar and Grille","Imperial Stout",2018-10-24,161,161
"Iron Tigress Inn","Amstel Lager",2018-10-24,162,162
"Unusual Truffle","Amstel Lentebock",2018-10-24,234,234
"Mixing Demon Pub","Southside Strong",2018-10-24,181,181
"Poor Bats Inn","North Beach Ale",2018-10-24,178,178
"Atomic Liquors","Southside Strong",2018-10-24,235,235
"Blue City","Grey Whale Ale",2018-10-24,235,235
"Hidden Lady Parlor","Leviathan Imperial Stout",2018-10-24,235,235
"Clever Child","Caldera Oatmeal Stout",2018-10-24,157,157
"Latino Magpie","Ashland Amber",2018-10-24,180,180
"Shouting Snake Inn","Columbus India Pale Ale",2018-10-24,163,163
"Regular Drum Tavern","Amstel Light",2018-10-24,180,180
"Scared Crossbow Tavern","Ashland Amber",2018-10-24,230,230
"Different Kumquat Pub","St. Stephen's Bock",2018-10-24,134,134
"Spirited Brew Saloon","Holiday Ale",2018-10-24,231,231
"Impossible Fire","Ballz Deep Double IPA",2018-10-24,157,157
"Sudden Octopus","Amstel Bock",2018-10-24,211,211
"Triangular Pegasus Inn","Blue Whale Ale",2018-10-24,206,206
"Rusty Sailor Outpost","Old Oakland Ale",2018-10-24,232,232
"Peaceful Bison","Welsh Honey Bitter",2018-10-24,135,135
"Fluffy Husband","Black Horse Black Beer",2018-10-24,206,206
"Crooked Sailor Ale House","Amstel Malt",2018-10-24,132,132
"Dramatic Crabs","Coconut Porter",2018-10-24,180,180
"Naughty Bean Inn","Caldera Oatmeal Stout",2018-10-24,212,212
"Deep Glass Bar","Dry Stout",2018-10-24,136,136
"Nimble Stream Pub","Nut Brown",2018-10-24,183,183
"Original Acorn Roadhouse","Hibiscus Ginger Beer",2018-10-24,136,136
"Loud Elderberry Bar","Caldera IPA",2018-10-24,210,210
"Wild Hag Bar","Caldera Pilsener Bier",2018-10-24,188,188
"Hoppy Apple Brewhouse","Dry Hop Red",2018-10-24,210,210
"Chinese Oak","Grey Whale Ale",2018-10-24,231,231
"New Spider Bar","Hibiscus Ginger Beer",2018-10-24,157,157
"Unusual Truffle","Grey Whale Ale",2018-10-24,204,204
"Ye Olde Lord Bar","Yellowjacket Ale",2018-10-24,202,202
"Jaded Pants Pub","Ashland Amber",2018-10-24,184,184
"Gifted Zebra Tavern","Cauldron Brew",2018-10-24,164,164
"Tasty Fairy Tavern","Hopportunity Knocks",2018-10-24,158,158
"Hungry Turtle Pub","Amstel Oud Bruin",2018-10-24,209,209
"Purple Pint Bar and Grille","Amstel Lentebock",2018-10-24,204,204
"Mixing Demon Pub","Cauldron DIPA",2018-10-24,125,125
"Latino Magpie","Holiday Imperial",2018-10-24,207,207
"Hidden Lady Parlor","Telford Porter",2018-10-24,232,232
"Blue City",Megalodon,2018-10-24,183,183
"Famous Tiger Pub","Holiday Imperial",2018-10-24,165,165
"Shouting Snake Inn","Newark IPA",2018-10-24,229,229
"Spirited Brew Saloon","Hopportunity Knocks",2018-10-24,231,231
"Regular Drum Tavern","Ashland Amber",2018-10-24,128,128
"Clever Child","Holiday Trappist Style Ale",2018-10-24,127,127
"Scared Crossbow Tavern","Welsh Pride",2018-10-24,210,210
"Discreet Elderberry Pub","Caldera IPA",2018-10-24,185,185
"Impossible Fire","Coconut Porter",2018-10-24,136,136
"Sudden Octopus","Grey Whale Ale",2018-10-24,232,232
"Rusty Sailor Outpost","Pacific Pilsner",2018-10-24,233,233
"Fluffy Husband","Celebration Ale",2018-10-24,233,233
"Peaceful Bison","Amstel Oud Bruin",2018-10-24,153,153
"Naughty Bean Inn","Exotic Erotic Passion Fruit Ale",2018-10-24,235,235
"Deep Glass Bar","Lawnmower Lager",2018-10-24,233,233
"Hoppy Apple Brewhouse","Amstel Oud Bruin",2018-10-24,158,158
"Original Acorn Roadhouse","Exotic Erotic Passion Fruit Ale",2018-10-24,230,230
"Chinese Oak","Celebration Ale",2018-10-24,231,231
"Ye Olde Lord Bar","Newark IPA",2018-10-24,158,158
"Jaded Pants Pub","Amstel Gold",2018-10-24,202,202
"Windy Harp","Red Moon",2018-10-24,233,233
"Tasty Fairy Tavern","Old Growth Imperial Stout",2018-10-24,179,179
"Molten Ants Bar","Emerald Ale",2018-10-24,232,232
"Purple Pint Bar and Grille","Viven Porter",2018-10-24,208,208
"Hungry Turtle Pub","Holiday Ale",2018-10-24,184,184
"Scared Crossbow Tavern","Caldera IPA",2018-10-25,133,133
"Nimble Stream Pub","Welsh Pride",2018-10-25,234,234
"Blue City","The Captain's Porter",2018-10-25,157,157
"Unusual Truffle","Kirner Pils Premium",2018-10-25,152,152
"Crooked Sailor Ale House","Caldera Ginger Beer",2018-10-25,157,157
"Iron Tigress Inn","Amstel Malt",2018-10-25,134,134
"Loud Elderberry Bar","Schinderhannes Bock",2018-10-25,231,231
"Famous Tiger Pub","Lawnmower Lager",2018-10-25,240,240
"Hidden Lady Parlor","Code Blue",2018-10-25,183,183
"Spirited Brew Saloon","Cauldron DIPA",2018-10-25,183,183
"Atomic Liquors","Nut Brown",2018-10-25,233,233
"Rusty Sailor Outpost","Caldera Pilsener Bier",2018-10-25,207,207
"Poor Bats Inn","Hop Hash",2018-10-25,136,136
"Clever Child","Cauldron Brew",2018-10-25,235,235
"Impossible Fire","Amstel Lentebock",2018-10-25,177,177
"Twelve Spider Inn","Hopportunity Knocks",2018-10-25,158,158
"New Spider Bar","Hopportunity Knocks",2018-10-25,158,158
"Dramatic Crabs","Southside Strong",2018-10-25,130,130
"Gifted Zebra Tavern","Dry Hop Red",2018-10-25,207,207
"Ye Olde Lord Bar","St. Stephen's Bock",2018-10-25,184,184
"Peaceful Bison","Exotic Erotic Passion Fruit Ale",2018-10-25,233,233
"Sore Head","Amstel Bright",2018-10-25,230,230
"Discreet Elderberry Pub","Lawnmower Lager",2018-10-25,160,160
"Regular Drum Tavern","Deviator Doppelbock",2018-10-25,129,129
"Hungry Vanilla Bean Tavern","Caldera Ginger Beer",2018-10-25,229,229
Anchor,"Amstel Bock",2018-10-25,207,207
"Naughty Bean Inn","Hopportunity Knocks",2018-10-25,152,152
"Tasty Fairy Tavern","Amstel Gold",2018-10-25,129,129
"Latino Magpie","Amstel Bright",2018-10-25,130,130
"Fluffy Husband","Hibiscus Ginger Beer",2018-10-25,135,135
"Shouting Snake Inn",Hefeweizen,2018-10-25,225,225
"Chinese Oak","Cauldron Espresso Stout",2018-10-25,154,154
"Original Horse Brewpub","Hibiscus Ginger Beer",2018-10-25,160,160
"Jaded Pants Pub","Blue Whale Ale",2018-10-25,183,183
"Deep Glass Bar","Orca Porter",2018-10-25,231,231
"Absent Snow","North Beach Ale",2018-10-25,211,211
"Windy Harp","Viven Porter",2018-10-25,184,184
"Quickest Doves","Orca Porter",2018-10-25,234,234
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-10-25,189,189
"Nimble Stream Pub","Columbus India Pale Ale",2018-10-25,234,234
"Molten Ants Bar","Grey Whale Ale",2018-10-25,210,210
"Scared Crossbow Tavern","Celebration Ale",2018-10-25,155,155
"Sudden Octopus","Leviathan Imperial Stout",2018-10-25,207,207
"Blue City","Viven Porter",2018-10-25,227,227
"Daily Barracuda Inn","Southside Strong",2018-10-25,207,207
"Unusual Truffle","Pilot Rock Porter",2018-10-25,179,179
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-10-25,227,227
"Iron Tigress Inn","Hop Hash",2018-10-25,180,180
"Loud Elderberry Bar","Yellowjacket Ale",2018-10-25,185,185
"Hidden Lady Parlor","Inspiration Ale",2018-10-25,208,208
"Spirited Brew Saloon","Caldera Pale Ale",2018-10-25,159,159
"Clever Child","Killer Whale Stout",2018-10-25,182,182
"Poor Bats Inn","Holiday Trappist Style Ale",2018-10-25,159,159
"Atomic Liquors","North Beach Ale",2018-10-25,158,158
"Impossible Fire","Viven Porter",2018-10-25,238,238
"Rusty Sailor Outpost","Emerald Ale",2018-10-25,156,156
"Dramatic Crabs","Viven Porter",2018-10-25,204,204
"Twelve Spider Inn","Viven Porter",2018-10-25,164,164
"New Spider Bar","Deviator Doppelbock",2018-10-25,231,231
"Peaceful Bison","Grey Whale Ale",2018-10-25,181,181
"Discreet Elderberry Pub","Amstel Gold",2018-10-25,139,139
"Gifted Zebra Tavern",Megalodon,2018-10-25,232,232
Anchor,"St. Stephen's Bock",2018-10-25,131,131
"Laughing Elephant Tavern","Red Moon",2018-10-25,202,202
"Tasty Fairy Tavern","Hop Hash",2018-10-25,134,134
"Ye Olde Lord Bar","Amstel Lentebock",2018-10-25,209,209
"Sore Head","Holiday Ale",2018-10-25,157,157
"Shouting Snake Inn","Amstel Bock",2018-10-25,238,238
"Responsible Chair","Amstel Gold",2018-10-25,233,233
"Hungry Vanilla Bean Tavern","Cauldron DIPA",2018-10-25,133,133
"Naughty Bean Inn","Honey Fayre",2018-10-25,129,129
"Foamy Cave","Holiday Ale",2018-10-25,231,231
"Deep Glass Bar","Blue Whale Ale",2018-10-25,209,209
"Absent Snow","Dry Stout",2018-10-25,229,229
"Chinese Oak","Orca Porter",2018-10-25,159,159
"Original Horse Brewpub","Caldera Oatmeal Stout",2018-10-25,204,204
"Jaded Pants Pub","Celebration Ale",2018-10-25,157,157
"Windy Harp","Ballz Deep Double IPA",2018-10-25,183,183
"Oceanic Knight Inn","Dry Stout",2018-10-25,155,155
"Daily Barracuda Inn","Grey Whale Ale",2018-10-25,179,179
"Quickest Doves","Amstel Malt",2018-10-25,134,134
"Scary Kiwi","Swamp Fox IPA",2018-10-25,184,184
"Molten Ants Bar","Amstel Light",2018-10-25,232,232
"Hoppy Apple Brewhouse","Amstel Lentebock",2018-10-25,188,188
"Fascinated Chick Pub","Telford Porter",2018-10-25,181,181
"Sudden Octopus","Telford Porter",2018-10-25,133,133
"Brave Olive Pub","Amstel Malt",2018-10-25,208,208
"Unusual Truffle","Hopportunity Knocks",2018-10-25,134,134
"Clever Child","Schinderhannes Bock",2018-10-25,234,234
"Iron Tigress Inn","Nut Brown",2018-10-25,213,213
"Loud Elderberry Bar","Caldera Ginger Beer",2018-10-25,230,230
"Spirited Brew Saloon","Caldera Oatmeal Stout",2018-10-25,137,137
"Hidden Lady Parlor","Caldera Oatmeal Stout",2018-10-25,134,134
"Proud Spiders","Southside Strong",2018-10-25,156,156
"Impossible Fire","Leviathan Imperial Stout",2018-10-25,232,232
"Atomic Liquors","Coconut Porter",2018-10-25,235,235
"Discreet Elderberry Pub","Red Moon",2018-10-25,209,209
Anchor,"Old Growth Imperial Stout",2018-10-25,159,159
"Peaceful Bison","Celebration Ale",2018-10-25,135,135
"Ruthless Chestnut","Cauldron Brew",2018-10-25,228,228
"Dramatic Crabs","Imperial Stout",2018-10-25,181,181
"Twelve Spider Inn","Ashland Amber",2018-10-25,135,135
"Skinny Guitar","Dry Hop Red",2018-10-25,150,150
"Laughing Elephant Tavern","Caldera Ginger Beer",2018-10-25,136,136
"Tasty Fairy Tavern","Amstel Lentebock",2018-10-25,157,157
"New Spider Bar","Holiday Imperial",2018-10-25,235,235
"Gifted Zebra Tavern","Newark IPA",2018-10-25,183,183
"Ye Olde Lord Bar","Lawnmower Lager",2018-10-25,176,176
"Absent Snow","Imperial Stout",2018-10-25,130,130
"Deep Glass Bar","Hibiscus Ginger Beer",2018-10-25,236,236
"Sour Axe Bar","Vas Deferens Ale",2018-10-25,186,186
"Chinese Oak","Amstel Oud Bruin",2018-10-25,230,230
"Naughty Bean Inn","Lawnmower Lager",2018-10-25,155,155
"Responsible Chair","Inspiration Ale",2018-10-25,211,211
"Hungry Vanilla Bean Tavern","Old Oakland Ale",2018-10-25,158,158
"Foamy Cave","Old Growth Imperial Stout",2018-10-25,208,208
"Jaded Pants Pub","Hopportunity Knocks",2018-10-25,231,231
"Original Horse Brewpub","Deviator Doppelbock",2018-10-25,206,206
"Daily Barracuda Inn","North Beach Ale",2018-10-25,235,235
"Molten Ants Bar","The Highland Stagger",2018-10-25,132,132
"Fascinated Chick Pub","Imperial Stout",2018-10-25,181,181
"Scary Kiwi","Celebration Ale",2018-10-25,214,214
"Quickest Doves","Old Oakland Ale",2018-10-25,208,208
"Oceanic Knight Inn","Cauldron DIPA",2018-10-25,132,132
"Windy Harp","Vas Deferens Ale",2018-10-25,137,137
"Brave Olive Pub","Caldera Oatmeal Stout",2018-10-25,212,212
"Clever Child","Telford Porter",2018-10-25,132,132
"Hoppy Apple Brewhouse","Deviator Doppelbock",2018-10-25,177,177
"Sudden Octopus","Amstel Bright",2018-10-25,231,231
"Unusual Truffle","Code Blue",2018-10-25,207,207
"Steel Elf","Old Oakland Ale",2018-10-25,152,152
"Iron Turkey","Holiday Imperial",2018-10-25,230,230
"Loud Elderberry Bar","Red Moon",2018-10-25,137,137
"Impossible Fire","Amstel Light",2018-10-25,129,129
"Proud Spiders","Ashland Amber",2018-10-25,130,130
"Discreet Elderberry Pub","Pilot Rock Porter",2018-10-25,187,187
"Skinny Guitar","Caldera Pale Ale",2018-10-25,207,207
Anchor,"Honey Fayre",2018-10-25,232,232
"Peaceful Bison","Holiday Imperial",2018-10-25,210,210
"Hidden Lady Parlor","Newark IPA",2018-10-25,139,139
"Tasty Fairy Tavern","Dry Hop Red",2018-10-25,178,178
"Laughing Elephant Tavern","Caldera IPA",2018-10-25,161,161
"Atomic Liquors","Holiday Imperial",2018-10-25,208,208
"Ruthless Chestnut","Blue Whale Ale",2018-10-25,132,132
"Earthy Bird Pub","Honey Fayre",2018-10-25,206,206
"New Spider Bar","Cauldron Brew",2018-10-25,206,206
"Twelve Spider Inn","Coconut Porter",2018-10-25,153,153
"Absent Snow","Old Oakland Ale",2018-10-25,181,181
"Deep Glass Bar","Amstel Oud Bruin",2018-10-25,183,183
"Chubby Badger Pub","Dry Hop Orange",2018-10-25,207,207
"Gifted Zebra Tavern","Lawnmower Lager",2018-10-25,184,184
"Sour Axe Bar","Cauldron DIPA",2018-10-25,235,235
"Naughty Bean Inn","Code Blue",2018-10-25,185,185
"Hungry Vanilla Bean Tavern","Pilot Rock Porter",2018-10-25,157,157
"Responsible Chair","Nut Brown",2018-10-25,178,178
"Foamy Cave","Imperial Stout",2018-10-25,160,160
"Jaded Pants Pub","Imperial Stout",2018-10-25,130,130
"Original Horse Brewpub","Vas Deferens Ale",2018-10-25,159,159
"Daily Barracuda Inn","Viven Porter",2018-10-25,185,185
"Fascinated Chick Pub","Red Moon",2018-10-25,207,207
"Quickest Doves","Deviator Doppelbock",2018-10-25,233,233
"Scary Kiwi","Hop Hash",2018-10-25,234,234
"Molten Ants Bar","Blue Whale Ale",2018-10-25,182,182
"Oceanic Knight Inn","Hibiscus Ginger Beer",2018-10-25,230,230
"Clever Child","Vas Deferens Ale",2018-10-25,208,208
"Windy Harp","Imperial Stout",2018-10-25,184,184
"Hoppy Apple Brewhouse","Pumpkin Ale",2018-10-25,182,182
"Brave Olive Pub","Red Moon",2018-10-25,235,235
"Sudden Octopus","Sausa Pils",2018-10-25,136,136
"Venomous River Inn","Pumpkin Ale",2018-10-25,227,227
"Peaceful Bison","Honey Fayre",2018-10-25,208,208
"Steel Elf","Caldera Pilsener Bier",2018-10-25,154,154
"Incredible Sailboat Pub","Leviathan Imperial Stout",2018-10-25,181,181
"Skinny Guitar","Cauldron DIPA",2018-10-25,238,238
Anchor,"Hibiscus Ginger Beer",2018-10-25,233,233
"Proud Spiders","Pilot Rock Porter",2018-10-25,156,156
"Iron Turkey","Honey Fayre",2018-10-25,234,234
"Lying Explorer Tavern","Yellowjacket Ale",2018-10-25,132,132
"Dizzy Lemon Lounge","Code Blue",2018-10-25,203,203
"Teeny Gauntlet Bar","Orca Porter",2018-10-25,206,206
"Laughing Elephant Tavern","Ashland Amber",2018-10-25,187,187
"Hidden Lady Parlor","Holiday Trappist Style Ale",2018-10-25,158,158
"New Spider Bar","Honey Fayre",2018-10-25,186,186
"Awful Salmon Bar","Columbus India Pale Ale",2018-10-25,187,187
"Ruthless Chestnut","Hibiscus Ginger Beer",2018-10-25,177,177
"Earthy Bird Pub","Leviathan Imperial Stout",2018-10-25,208,208
"Absent Snow","Inspiration Ale",2018-10-25,162,162
"Twelve Spider Inn","Southside Strong",2018-10-25,212,212
"Chubby Badger Pub","Dry Hop Red",2018-10-25,127,127
"Gray City",Hefeweizen,2018-10-25,125,125
"Deep Glass Bar","Amstel Bock",2018-10-25,233,233
"Sour Axe Bar","Viven Porter",2018-10-25,208,208
"Naughty Bean Inn","Caldera IPA",2018-10-25,158,158
"Responsible Chair","Viven Porter",2018-10-25,161,161
"Foamy Cave","Viven Porter",2018-10-25,180,180
"Hungry Vanilla Bean Tavern","Caldera Pale Ale",2018-10-25,155,155
"Daily Barracuda Inn","Old Oakland Ale",2018-10-25,152,152
"Jealous Fiddle Pub","Amstel Lentebock",2018-10-25,182,182
"Original Horse Brewpub",Hefeweizen,2018-10-25,235,235
"Fascinated Chick Pub","Sausa Pils",2018-10-25,203,203
"Quickest Doves","Swamp Fox IPA",2018-10-25,161,161
"Scary Kiwi","Cauldron DIPA",2018-10-25,238,238
"Windy Harp","Amstel Bock",2018-10-25,233,233
"Hot Cup Inn","Black Horse Black Beer",2018-10-25,156,156
"Brave Olive Pub","Inspiration Ale",2018-10-25,176,176
"Peaceful Bison","Nut Brown",2018-10-25,206,206
"Oceanic Knight Inn","Old Growth Imperial Stout",2018-10-25,158,158
"Molten Ants Bar","Newark IPA",2018-10-25,155,155
"Clever Child","Pumpkin Ale",2018-10-25,207,207
"Venomous River Inn","Amstel Bright",2018-10-25,178,178
"Skinny Guitar","Caldera Oatmeal Stout",2018-10-25,212,212
"Armed Pudding Bar","Cauldron DIPA",2018-10-25,158,158
"Sweet And Sour Castle Bar","Amstel Lager",2018-10-25,127,127
"Steel Elf","Caldera Ginger Beer",2018-10-25,207,207
"Iron Turkey","Welsh Pride",2018-10-25,235,235
"Incredible Sailboat Pub","Schinderhannes Bock",2018-10-25,154,154
"Teeny Gauntlet Bar","Emerald Ale",2018-10-25,181,181
"Laughing Elephant Tavern","Coconut Porter",2018-10-25,135,135
"Dizzy Lemon Lounge","Coconut Porter",2018-10-25,178,178
"Proud Spiders","The Captain's Porter",2018-10-25,204,204
"Lying Explorer Tavern","Caldera Pilsener Bier",2018-10-25,227,227
"Absent Snow",Megalodon,2018-10-25,153,153
"Awful Salmon Bar","Caldera Oatmeal Stout",2018-10-25,210,210
"Nifty Branch Inn","Welsh Pride",2018-10-25,183,183
"Hidden Lady Parlor","Amstel Bock",2018-10-25,207,207
"Ruthless Chestnut","Pilot Rock Porter",2018-10-25,187,187
"Earthy Bird Pub","Emerald Ale",2018-10-25,134,134
"Twelve Spider Inn","Columbus India Pale Ale",2018-10-25,204,204
"Deep Glass Bar","The Highland Stagger",2018-10-25,209,209
"Gray City","Code Blue",2018-10-25,128,128
"Needy Mind Tavern","Amstel Malt",2018-10-25,180,180
"Chubby Badger Pub","Cauldron Espresso Stout",2018-10-25,164,164
"Sour Axe Bar","Pumpkin Ale",2018-10-25,231,231
"Responsible Chair","The Highland Stagger",2018-10-25,233,233
"Dandy Cloud Bistro","Welsh Pride",2018-10-25,137,137
"Hungry Vanilla Bean Tavern","Amstel Bright",2018-10-25,134,134
"Foamy Cave","Deviator Doppelbock",2018-10-25,179,179
"Fascinated Chick Pub","Caldera Ginger Beer",2018-10-25,134,134
"Jealous Fiddle Pub","Cauldron Espresso Stout",2018-10-25,238,238
"Original Horse Brewpub","The Highland Stagger",2018-10-25,159,159
"Quickest Doves","Ashland Amber",2018-10-25,157,157
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-25,181,181
"Skinny Guitar","Honey Fayre",2018-10-25,133,133
"Scary Kiwi",Hefeweizen,2018-10-25,129,129
"Armed Pudding Bar","Dry Hop Red",2018-10-25,182,182
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-25,127,127
"Hot Cup Inn","Emerald Ale",2018-10-25,156,156
"Natural Leopard","Imperial Stout",2018-10-25,156,156
"Clever Child","Leviathan Imperial Stout",2018-10-25,232,232
"Windy Harp","Holiday Imperial",2018-10-25,232,232
"Brave Olive Pub","Swamp Fox IPA",2018-10-25,132,132
"Oceanic Knight Inn","Red Moon",2018-10-25,186,186
"Venomous River Inn","Lawnmower Lager",2018-10-25,206,206
"Steel Elf","Celebration Ale",2018-10-25,159,159
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-25,132,132
"Laughing Elephant Tavern","Orca Porter",2018-10-25,203,203
"Iron Turkey","Dry Stout",2018-10-25,180,180
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-25,229,229
"Absent Snow","Dry Hop Red",2018-10-25,158,158
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-25,155,155
"Proud Spiders","Cauldron Espresso Stout",2018-10-25,179,179
"Lying Explorer Tavern","Amstel Light",2018-10-25,181,181
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-10-25,179,179
"Earthy Bird Pub","Schinderhannes Bock",2018-10-25,186,186
"Nifty Branch Inn","Amstel Bock",2018-10-25,210,210
"Hidden Table Brewpub","Dry Hop Red",2018-10-25,232,232
"Twelve Spider Inn","Dry Stout",2018-10-25,207,207
"Ruthless Chestnut","Code Blue",2018-10-25,179,179
"Deep Lantern","Viven Porter",2018-10-25,128,128
"Chubby Badger Pub","Grey Whale Ale",2018-10-25,181,181
"Gray City","Nut Brown",2018-10-25,178,178
"Dandy Cloud Bistro",Hefeweizen,2018-10-25,205,205
"Needy Mind Tavern","Celebration Ale",2018-10-25,135,135
"Sour Axe Bar","Caldera Oatmeal Stout",2018-10-25,182,182
"Hypnotic Gate Tavern","Caldera IPA",2018-10-25,127,127
"Rich Tauren Bar","Nut Brown",2018-10-25,206,206
"Foamy Cave","Columbus India Pale Ale",2018-10-25,179,179
"Fascinated Chick Pub","Columbus India Pale Ale",2018-10-25,233,233
"Jealous Fiddle Pub","Old Growth Imperial Stout",2018-10-25,132,132
"Skinny Guitar","North Beach Ale",2018-10-25,208,208
"Perfect Rabbit Tavern","Caldera IPA",2018-10-25,234,234
"Armed Pudding Bar","Old Growth Imperial Stout",2018-10-25,211,211
"Original Horse Brewpub","Coconut Porter",2018-10-25,135,135
"Quickest Doves","Exotic Erotic Passion Fruit Ale",2018-10-25,211,211
"Scary Kiwi","Code Blue",2018-10-25,236,236
"Teeny Gauntlet Bar","Pacific Pilsner",2018-10-25,233,233
"Natural Leopard","Pacific Pilsner",2018-10-25,159,159
"Clever Child","Amstel Gold",2018-10-25,212,212
"Windy Harp","Grey Whale Ale",2018-10-25,180,180
"Hot Cup Inn","Amstel Lager",2018-10-25,205,205
"Laughing Elephant Tavern","Sausa Pils",2018-10-25,160,160
"Admiral Benbow Inn","Cauldron Espresso Stout",2018-10-25,132,132
"Sweet And Sour Castle Bar","Deviator Doppelbock",2018-10-25,205,205
"Iron Turkey","Dry Hop Orange",2018-10-25,188,188
"Venomous River Inn","Blue Whale Ale",2018-10-25,153,153
"Oceanic Knight Inn","Honey Fayre",2018-10-25,157,157
"Steel Elf","Amstel Oud Bruin",2018-10-25,128,128
"Brave Olive Pub","Holiday Ale",2018-10-25,211,211
"Incredible Sailboat Pub","Black Horse Black Beer",2018-10-25,133,133
"Dizzy Lemon Lounge","Amstel Light",2018-10-25,239,239
"Lying Explorer Tavern","Columbus India Pale Ale",2018-10-25,182,182
"Proud Spiders","The Highland Stagger",2018-10-25,226,226
"Awful Salmon Bar","Amstel Lentebock",2018-10-25,207,207
"Nifty Branch Inn","Amstel Gold",2018-10-25,210,210
"Earthy Bird Pub","Coconut Porter",2018-10-25,232,232
"Hidden Table Brewpub","Emerald Ale",2018-10-25,225,225
"Ruthless Chestnut","Caldera Ginger Beer",2018-10-25,131,131
"Dandy Cloud Bistro","Cauldron Espresso Stout",2018-10-25,130,130
"Twelve Spider Inn",Hefeweizen,2018-10-25,187,187
"Deep Lantern","Honey Fayre",2018-10-25,164,164
"Gray City","Amstel Lentebock",2018-10-25,138,138
"Chubby Badger Pub","Exotic Erotic Passion Fruit Ale",2018-10-25,161,161
"Needy Mind Tavern","Columbus India Pale Ale",2018-10-25,186,186
"Fascinated Chick Pub","Viven Porter",2018-10-25,207,207
"Spicy Cats Tavern","Honey Fayre",2018-10-25,132,132
"Rich Tauren Bar","Schinderhannes Bock",2018-10-25,161,161
"Hypnotic Gate Tavern","Dry Hop Orange",2018-10-25,211,211
"Skinny Guitar","Welsh Honey Bitter",2018-10-25,158,158
