barname,beername,price
"Wild Hag Bar","Grey Whale Ale",5.39
"Wild Hag Bar","Newark IPA",4.75
"Wild Hag Bar","Amstel Oud Bruin",5.70
"Wild Hag Bar","Caldera Pilsener Bier",7.70
"Windy Harp","Red Moon",9.00
"Windy Harp","Viven Porter",8.80
"Windy Harp","Ballz Deep Double IPA",6.16
"Windy Harp","Vas Deferens Ale",5.79
"Windy Harp","Imperial Stout",3.21
"Windy Harp","Amstel Bock",7.72
"Windy Harp","Holiday Imperial",5.39
"Windy Harp","Grey Whale Ale",5.39
"Wretched Grape Inn","Amstel Oud Bruin",5.70
"Wretched Grape Inn",Megalodon,8.55
"Wretched Grape Inn","Deviator Doppelbock",6.93
"Wretched Grape Inn","Hop Hash",8.55
"Wretched Grape Inn","Amstel Gold",9.99
"Wretched Grape Inn","Lawnmower Lager",9.99
"Wretched Grape Inn","Yellowjacket Ale",5.70
"Wretched Grape Inn","Red Moon",9.00
"Wretched Grape Inn","Inspiration Ale",9.99
"Wretched Grape Inn","Celebration Ale",3.86
"Wrong Whip Bar","Caldera Pilsener Bier",7.70
"Wrong Whip Bar","Amstel Light",3.86
"Wrong Whip Bar","Hibiscus Ginger Beer",9.99
"Wrong Whip Bar","Blue Whale Ale",9.00
"Wrong Whip Bar","Old Oakland Ale",7.92
"Wrong Whip Bar","Imperial Stout",3.21
"Wrong Whip Bar","Caldera Pale Ale",5.79
"Wrong Whip Bar","Yellowjacket Ale",5.70
"Wrong Whip Bar","Caldera Ginger Beer",6.16
"Ye Olde Lord Bar","Yellowjacket Ale",5.70
"Ye Olde Lord Bar","Newark IPA",4.75
"Ye Olde Lord Bar","St. Stephen's Bock",9.68
"Ye Olde Lord Bar","Amstel Lentebock",3.85
"Ye Olde Lord Bar","Lawnmower Lager",9.99
